"","id","legisNames","party","year","icpsrst","district","incumb","numdvt","numrvt","numovt","statenm","stpost","fipsst","Office","CensusPop","Area","RedistrictedDate","RepCandidate","RepStatus","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RaceNotes","dpvote","winner","numdvt_js","numrvt_js","numovt_js","handcorrected","y","x"
"YOUNG (R AK-1)","AK-1","YOUNG (R AK-1)","R",2016,NA,1,-1,111019,155088,NA,NA,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,"Don Young",NA,NA,NA,NA,0.360653285070493,58.4
"BYRNE (R AL-1)","AL-1","BYRNE (R AL-1)","R",2016,NA,1,-1,0,208083,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,"Bradley Byrne",NA,NA,NA,NA,1.16290808863537,65.1
"ROBY (R AL-2)","AL-2","ROBY (R AL-2)","R",2016,NA,2,-1,112089,134886,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,"Martha Roby",NA,NA,NA,NA,0.949538906115023,66.3
"ROGERS (R AL-3)","AL-3","ROGERS (R AL-3)","R",2016,NA,3,-1,94549,192164,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,"Mike Rogers",NA,NA,NA,NA,0.415508470417228,66.9
"ADERHOLT (R AL-4)","AL-4","ADERHOLT (R AL-4)","R",2016,NA,4,-1,0,235925,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,"Robert Aderholt",NA,NA,NA,NA,0.567588948515367,82.2
"BROOKS (R AL-5)","AL-5","BROOKS (R AL-5)","R",2016,NA,5,-1,102234,205647,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,"Mo Brooks",NA,NA,NA,NA,0.497777390443789,67.4
"PALMER (R AL-6)","AL-6","PALMER (R AL-6)","R",2016,NA,6,-1,83709,245313,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,"Gary Palmer",NA,NA,NA,NA,1.14816302303208,73.1
"SEWELL (D AL-7)","AL-7","SEWELL (D AL-7)","D",2016,NA,7,1,229330,0,NA,NA,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.9,"Terri Sewell",NA,NA,NA,NA,-1.13364029754116,29.1
"CRAWFORD (R AR-1)","AR-1","CRAWFORD (R AR-1)","R",2016,NA,1,-1,0,183866,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,"Rick Crawford",NA,NA,NA,NA,1.03426741752675,68.3
"HILL (R AR-2)","AR-2","HILL (R AR-2)","R",2016,NA,2,-1,111347,176472,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,"French Hill",NA,NA,NA,NA,0.652034213804653,55.7
