cycle,candidates,nominated,elected,party,gender
2018,468,154,0,Democrat,Female
2016,204,120,62,Democrat,Female
2014,195,111,62,Democrat,Female
2012,217,115,58,Democrat,Female
2010,157,91,48,Democrat,Female
2008,173,95,58,Democrat,Female
2006,158,95,50,Democrat,Female
2004,127,86,42,Democrat,Female
2002,131,79,39,Democrat,Female
2000,112,80,41,Democrat,Female
1998,103,75,39,Democrat,Female
1996,134,77,35,Democrat,Female
1994,110,71,29,Democrat,Female
2018,149,44,0,Republican,Female
2016,109,46,21,Republican,Female
2014,110,50,22,Republican,Female
2012,123,48,20,Republican,Female
2010,154,48,24,Republican,Female
2008,73,39,17,Republican,Female
2006,80,40,21,Republican,Female
2004,88,51,23,Republican,Female
2002,81,45,21,Republican,Female
2000,73,44,18,Republican,Female
1998,67,48,17,Republican,Female
1996,76,43,16,Republican,Female
1994,88,38,17,Republican,Female
2018,1080,219,0,Democrat,Male
2016,651,286,132,Democrat,Male
2014,603,288,126,Democrat,Male
2012,730,295,143,Democrat,Male
2010,616,320,145,Democrat,Male
2008,644,326,199,Democrat,Male
2006,688,323,183,Democrat,Male
2004,554,300,160,Democrat,Male
2002,591,303,166,Democrat,Male
2000,534,318,171,Democrat,Male
1998,469,299,172,Democrat,Male
1996,630,331,172,Democrat,Male
1994,621,326,175,Democrat,Male
2018,971,303,0,Republican,Male
2016,886,349,220,Republican,Male
2014,824,340,225,Republican,Male
2012,941,361,214,Republican,Male
2010,1252,379,218,Republican,Male
2008,724,354,161,Republican,Male
2006,618,346,181,Republican,Male
2004,641,348,209,Republican,Male
2002,716,350,208,Republican,Male
2000,640,359,203,Republican,Male
1998,554,344,206,Republican,Male
1996,718,375,211,Republican,Male
1994,709,372,213,Republican,Male
